0492,0492_1315
0636,0636_2286,0636_2204
0485,0485_1284
0490,0490_1316,0490_425
0882,0882_1114,0882_369
0788,0788_30
0637,0637_1392
0778,0778_778,0778_476
0867,0867_2273
0740,0740_1093,0740_170,0740_1194,0740_70,0740_618
0890,0890_2091,0890_1130,0890_2223
0574,0574_2160,0574_743,0574_2862
0765,0765_154
1066,1066_749
0966,0966_2516
0974,0974_1793
0910,0910_1199,0910_2215
1048,1048_847
0677,0677_1477
0665,0665_192
0848,0848_123
1071,1071_672
0411,0411_1781,0411_1773,0411_1885
0600,0600_770
0939,0939_2543,0939_3586,0939_2742,0939_2400,0939_3774,0939_1263
0902,0902_2107,0902_2651
1094,1094_612,1094_1463
0938,0938_1745
0449,0449_1194,0449_84
0152,0152_55
0973,0973_915
0861,0861_336
0569,0569_983
1084,1084_86,1084_2705
0972,0972_352
1080,1080_430
0805,0805_1211,0805_2054
0428,0428_738,0428_236
0952,0952_1411
0904,0904_175,0904_1389
0701,0701_1343,0701_395,0701_305,0701_2118,0701_1189
0741,0741_447
0282,0282_397,0282_652
1035,1035_3504
0903,0903_2448,0903_1349,0903_771,0903_1655
0800,0800_482,0800_1210
1070,1070_362
0505,0505_3016,0505_3499
1078,1078_1110
0602,0602_353,0602_2754,0602_1614
0547,0547_3258
1007,1007_1136
1050,1050_1518
0483,0483_1344
1000,1000_1419
0771,0771_328
0303,0303_184
0546,0546_1448,0546_1774
1069,1069_15
0797,0797_122
