0007,0007_435
0791,0791_2674,0791_3291
0038,0038_91
0636,0636_964,0636_353
0100,0100_260
1074,1074_215,1074_94
0932,0932_2941,0932_812
0788,0788_326
0367,0367_159,0367_293,0367_16,0367_388
0413,0413_561,0413_206,0413_2368
0812,0812_625
0638,0638_984,0638_2139,0638_2010,0638_51
0722,0722_1702
0395,0395_124
0017,0017_214
0345,0345_718
0717,0717_60,0717_16
1048,1048_1883,1048_1022
0402,0402_148,0402_87
0545,0545_2259,0545_1420
0580,0580_2509,0580_398
0424,0424_136,0424_632
0753,0753_203
0581,0581_1538,0581_502
0346,0346_79,0346_14
0685,0685_1537,0685_1604
0594,0594_1980,0594_108,0594_1551,0594_1929,0594_1393,0594_521,0594_232,0594_1390,0594_407,0594_2136,0594_1250
1071,1071_1319,1071_640
0811,0811_639,0811_0
0763,0763_1236,0763_82
0807,0807_310
0339,0339_150
0773,0773_78
0747,0747_371,0747_1374,0747_1068
0388,0388_249
0975,0975_219
0566,0566_2351,0566_835
0631,0631_361,0631_1251
1084,1084_1527,1084_1960
0699,0699_857,0699_1570
0321,0321_850,0321_346
0342,0342_383
0562,0562_2572
0657,0657_472,0657_1856
1095,1095_236,1095_229
0738,0738_130,0738_183
0420,0420_1954,0420_983
0409,0409_228,0409_271
0052,0052_118
0327,0327_673
1086,1086_1115
0770,0770_1212,0770_1652
1067,1067_97,1067_198
0766,0766_99,0766_167
0794,0794_364,0794_198
0533,0533_1297,0533_2120
0696,0696_85
0579,0579_1273,0579_1840
0353,0353_4
0000,0000_298,0000_248
0723,0723_413,0723_643,0723_1316,0723_493,0723_72,0723_799,0723_1621,0723_702
1000,1000_2545,1000_1768
0024,0024_87
0981,0981_1240
0384,0384_1089
0377,0377_303
1081,1081_67,1081_140
0399,0399_307
