0394,0394_2468
0762,0762_1407,0762_1229
0090,0090_1186
0057,0057_757,0057_1020
1066,1066_983
0758,0758_589
0573,0573_3197,0573_2477
0177,0177_318
0828,0828_474
0566,0566_385
0569,0569_983
1083,1083_614
0586,0586_687,0586_2230
0218,0218_1128
0478,0478_533
1031,1031_433
0373,0373_739,0373_608
1052,1052_2081,1052_1354
0995,0995_938
0510,0510_858
0884,0884_382,0884_1274
0849,0849_1847,0849_641
0587,0587_1422
1078,1078_771
1036,1036_308,1036_879
0933,0933_243,0933_1305
0602,0602_1427,0602_134,0602_3002
0289,0289_159
0719,0719_1745,0719_741
0842,0842_1234
