0007,0007_491
0100,0100_311,0100_29
0820,0820_1253,0820_2602
0932,0932_1314,0932_1339
0182,0182_1273,0182_727,0182_955,0182_1072
0762,0762_934,0762_384
0756,0756_215
0656,0656_1336,0656_615,0656_2076,0656_1764,0656_802,0656_2172,0656_2561,0656_2615
0645,0645_1036
0457,0457_457,0457_1908,0457_1690,0457_745
1009,1009_834,1009_206,1009_407,1009_653,1009_237,1009_594,1009_262,1009_525,1009_449
0953,0953_103
0167,0167_331,0167_988,0167_726
0133,0133_396,0133_499
0461,0461_553
0352,0352_560
1041,1041_1
0853,0853_2979,0853_1710,0853_2807,0853_1778
0827,0827_1684,0827_518,0827_24,0827_696,0827_678
0911,0911_1073
0639,0639_391,0639_1770
0085,0085_508,0085_376
0372,0372_1363,0372_1122,0372_186,0372_1408,0372_754
0679,0679_1975,0679_1203
0337,0337_846
0691,0691_1308,0691_1563,0691_196,0691_744
0177,0177_651
0499,0499_313,0499_1331
1094,1094_0
0938,0938_957
0655,0655_266,0655_575
0898,0898_818,0898_1839
0821,0821_1496
0569,0569_1097,0569_1170,0569_353
0462,0462_1066,0462_1181,0462_2949,0462_2852,0462_1971,0462_586,0462_1220,0462_2011,0462_96,0462_2577,0462_2353,0462_2631,0462_3035,0462_1713,0462_215,0462_1957,0462_2555
0008,0008_854,0008_16,0008_138
0699,0699_1876,0699_1977
0321,0321_732
0680,0680_2458,0680_1458
0320,0320_261,0320_368,0320_137,0320_863,0320_854
0736,0736_36,0736_246,0736_183
0701,0701_1332,0701_1814
1034,1034_2698,1034_2361,1034_1344,1034_1637,1034_1538,1034_2296,1034_2542,1034_1157,1034_919,1034_983,1034_2461,1034_2041,1034_1044,1034_2318,1034_947,1034_535,1034_2087,1034_780
0761,0761_1420,0761_1897,0761_197,0761_974
0833,0833_741
0670,0670_1384,0670_911,0670_965,0670_887,0670_1526
0014,0014_400
0874,0874_1457,0874_781
1023,1023_1379
1035,1035_3340,1035_388,1035_2463,1035_362
0759,0759_39,0759_345
1073,1073_741
0520,0520_1851,0520_35,0520_664,0520_964
1052,1052_1656,1052_1132
0538,0538_1252,0538_271
0875,0875_323,0875_1058
1055,1055_824,1055_588
0644,0644_2059,0644_880,0644_383,0644_235,0644_1728,0644_1627,0644_1042,0644_1850,0644_991,0644_1982,0644_868,0644_1110,0644_28,0644_1946,0644_1581
0686,0686_1313,0686_1263
0231,0231_666,0231_528,0231_810
0884,0884_1224,0884_728
0772,0772_1272
1003,1003_180
0625,0625_44,0625_1037
0323,0323_1030,0323_627
0547,0547_2443,0547_3461,0547_1817,0547_2005,0547_928,0547_3859,0547_3710,0547_1049
0365,0365_1243
1024,1024_486,1024_653
0905,0905_1136
0931,0931_1153,0931_332
0099,0099_442,0099_549
0280,0280_558,0280_867,0280_957,0280_13,0280_967
0876,0876_1089,0876_403
