0561,0561_1691
0134,0134_41
0846,0846_1770,0846_508,0846_429
0831,0831_73,0831_1209
0820,0820_121
0932,0932_1098
0687,0687_3344
0495,0495_492
0917,0917_1180,0917_511
0273,0273_631
0806,0806_1187
0574,0574_2957,0574_100
1002,1002_205,1002_240
1072,1072_363
0830,0830_271
0897,0897_1750
0953,0953_226
1048,1048_292,1048_1681
0665,0665_2220
0958,0958_162,0958_81
0393,0393_1555
0871,0871_311
0346,0346_246
0826,0826_2148,0826_404,0826_2846,0826_610,0826_1494
0411,0411_697
0769,0769_868,0769_1546,0769_974
1030,1030_3049
0844,0844_8
0993,0993_519
0560,0560_740
0845,0845_1117
0840,0840_1612,0840_1940,0840_259,0840_1079,0840_2404,0840_1679,0840_2186,0840_2147,0840_1115,0840_899,0840_2212,0840_2262,0840_2299
0939,0939_3877
0799,0799_689
0856,0856_140
0994,0994_1575
1029,1029_612
0822,0822_172,0822_11
1025,1025_135,1025_19,1025_231,1025_137
0655,0655_308,0655_341
0408,0408_1309
0861,0861_1876
0569,0569_983
1083,1083_1388
0421,0421_2476
0841,0841_502,0841_471,0841_1679,0841_2918,0841_3009,0841_2888,0841_495,0841_1416,0841_1748,0841_1298,0841_169,0841_2955
1037,1037_2668
0904,0904_2602
0834,0834_1121
0954,0954_270
0925,0925_595
0478,0478_533
0761,0761_2059,0761_1178,0761_1879,0761_724
0833,0833_626
0741,0741_1021,0741_82
1086,1086_183
0001,0001_136
0700,0700_578
0825,0825_445,0825_268
0054,0054_332
0751,0751_396
0058,0058_423
0505,0505_2989
0832,0832_730
0650,0650_2755,0650_723,0650_1639
1026,1026_19,1026_135
0313,0313_958
0933,0933_1051
0547,0547_4207
0483,0483_2656,0483_2602
0460,0460_2644
0303,0303_537
0842,0842_1234,0842_2330,0842_2240
0768,0768_44
