0316,0316_312,0316_1129
0007,0007_624,0007_531
0120,0120_1320,0120_804
0678,0678_565,0678_2551,0678_1384,0678_1158,0678_1776,0678_676
1077,1077_126,1077_2417
0549,0549_540,0549_186,0549_195,0549_498,0549_190
0543,0543_545,0543_7
0683,0683_138,0683_80
0442,0442_2001,0442_861,0442_2898,0442_1031,0442_2580,0442_1957,0442_1887,0442_790,0442_3143,0442_2381,0442_3643,0442_2123,0442_911,0442_2247,0442_585,0442_497,0442_2643,0442_2282,0442_2063,0442_1580,0442_2785
1001,1001_976,1001_394
1017,1017_1721,1017_132,1017_651,1017_1497,1017_2216,1017_696,1017_41,1017_2264,1017_1664,1017_2177,1017_755,1017_1337,1017_842,1017_1349,1017_2248,1017_775,1017_2061,1017_1050
0371,0371_1475,0371_829,0371_451,0371_22,0371_78,0371_1180,0371_907,0371_211,0371_240,0371_1474,0371_991,0371_323
0791,0791_2854,0791_1450,0791_1363,0791_2051,0791_122,0791_1059
0714,0714_385,0714_826,0714_1558,0714_1940,0714_1425,0714_2151,0714_1143,0714_1398,0714_964,0714_407
0105,0105_517,0105_592,0105_1136,0105_1016,0105_537,0105_1109,0105_1037,0105_321,0105_868,0105_912,0105_421
0561,0561_1928,0561_2012,0561_1450,0561_1530,0561_617,0561_798,0561_1402,0561_223,0561_2830,0561_1939,0561_470,0561_2065,0561_47,0561_1982,0561_1881,0561_972,0561_582,0561_1227,0561_993,0561_9,0561_1265
0706,0706_2332,0706_879,0706_92,0706_1661,0706_2569,0706_1100
0992,0992_125,0992_1362,0992_893,0992_843,0992_1167,0992_90,0992_1251
0889,0889_596,0889_1295,0889_167
0358,0358_595,0358_641
0148,0148_132,0148_166,0148_662,0148_934,0148_688
0651,0651_1320,0651_2460,0651_1072,0651_2655,0651_314,0651_2012
0636,0636_1548,0636_2148,0636_414,0636_655,0636_240,0636_273,0636_1198,0636_2174,0636_1655,0636_161
0100,0100_857,0100_472,0100_87,0100_182,0100_560,0100_98,0100_671
0258,0258_91,0258_509,0258_981,0258_321,0258_610,0258_151
0394,0394_2072,0394_999,0394_1666,0394_1134,0394_1034,0394_568,0394_289,0394_2191,0394_1537
0176,0176_937,0176_661,0176_579
0571,0571_695,0571_185,0571_443
0803,0803_1877,0803_1886,0803_2389,0803_2082,0803_1098,0803_162,0803_206,0803_2675,0803_2203,0803_896,0803_2581,0803_2374,0803_955,0803_921,0803_2510,0803_2135,0803_828,0803_2528
0491,0491_1661,0491_425
0127,0127_741,0127_399,0127_341,0127_193,0127_218
0643,0643_1905,0643_1436,0643_860,0643_315,0643_634,0643_1936,0643_773,0643_932
0328,0328_935,0328_684,0328_478
0378,0378_550,0378_1913,0378_783,0378_828,0378_2015,0378_477,0378_1761,0378_742,0378_789,0378_1831,0378_2032,0378_794,0378_1673
0390,0390_1242,0390_1170,0390_1135,0390_1896,0390_1471,0390_1711,0390_1553,0390_2096,0390_1699
